City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
96,Avarua,CK,2021-11-27 16:54:52,-21.2078,-159.775,78.85,89,75,6.91,broken clouds
97,Rawson,AR,2021-11-27 16:54:53,-43.3002,-65.1023,64.31,48,22,15.12,few clouds
98,Kaitangata,NZ,2021-11-27 16:54:53,-46.2817,169.8464,42.62,93,84,4.81,broken clouds
99,Saint-Francois,FR,2021-11-27 16:54:53,46.4154,3.9054,36.84,87,90,3.44,overcast clouds
100,Constitucion,CL,2021-11-27 16:54:54,-35.3333,-72.4167,63.14,59,0,18.57,clear sky
101,Galesong,ID,2021-11-27 16:54:54,-5.3166,119.3661,77.02,82,100,6.76,overcast clouds
102,Darhan,MN,2021-11-27 16:54:55,49.4867,105.9228,14.5,83,100,5.79,overcast clouds
103,Berlevag,NO,2021-11-27 16:51:45,70.8578,29.0864,20.5,75,50,19.89,scattered clouds
104,Faanui,PF,2021-11-27 16:54:55,-16.4833,-151.75,80.64,74,18,17.67,few clouds
105,Saint-Pierre,RE,2021-11-27 16:54:55,-21.3393,55.4781,76.68,83,40,0.0,light rain
106,North Bend,US,2021-11-27 16:51:31,43.4065,-124.2243,55.31,94,90,8.05,overcast clouds
107,Conceicao Do Araguaia,BR,2021-11-27 16:54:56,-8.2578,-49.2647,92.97,44,22,5.93,few clouds
108,Westport,US,2021-11-27 16:53:52,41.1415,-73.3579,40.96,48,6,18.01,clear sky
109,Esperance,AU,2021-11-27 16:54:57,-33.8667,121.9,58.84,67,0,15.14,clear sky
110,Seoul,KR,2021-11-27 16:50:17,37.5683,126.9778,35.04,84,1,2.3,clear sky
111,Beringovskiy,RU,2021-11-27 16:54:57,63.05,179.3167,2.98,97,100,9.17,overcast clouds
112,Bintulu,MY,2021-11-27 16:54:58,3.1667,113.0333,77.41,94,40,0.0,scattered clouds
113,Cabo San Lucas,MX,2021-11-27 16:54:58,22.8909,-109.9124,73.83,75,100,6.29,overcast clouds
114,Hithadhoo,MV,2021-11-27 16:54:59,-0.6,73.0833,82.67,69,94,18.07,overcast clouds
115,Birjand,IR,2021-11-27 16:53:14,32.8663,59.2211,46.87,57,0,4.61,clear sky
116,Chokurdakh,RU,2021-11-27 16:54:59,70.6333,147.9167,-34.71,100,71,0.36,broken clouds
117,Tasiilaq,GL,2021-11-27 16:55:00,65.6145,-37.6368,27.19,72,100,6.51,overcast clouds
118,Kerema,PG,2021-11-27 16:55:00,-7.9631,145.7785,78.91,81,100,3.89,overcast clouds
119,Yulara,AU,2021-11-27 16:55:01,-25.2406,130.9889,67.84,42,0,5.75,clear sky
120,Tilichiki,RU,2021-11-27 16:55:01,60.4667,166.1,30.52,90,100,26.57,light snow
121,Kiama,AU,2021-11-27 16:55:01,-34.6833,150.8667,56.68,84,99,14.67,overcast clouds
122,Lebu,CL,2021-11-27 16:55:02,-37.6167,-73.65,58.41,67,1,16.24,clear sky
123,Kyabram,AU,2021-11-27 16:55:02,-36.3167,145.05,51.39,73,0,6.73,clear sky
124,Faya,SA,2021-11-27 16:50:39,18.3851,42.4509,64.51,51,40,7.02,scattered clouds
125,East London,ZA,2021-11-27 16:55:03,-33.0153,27.9116,67.14,88,20,9.22,moderate rain
126,Hofn,IS,2021-11-27 16:55:03,64.2539,-15.2082,35.47,47,100,7.25,overcast clouds
127,Qaanaaq,GL,2021-11-27 16:55:04,77.484,-69.3632,2.01,96,100,3.53,overcast clouds
128,Pevek,RU,2021-11-27 16:55:04,69.7008,170.3133,-18.17,90,8,4.38,clear sky
129,Cherskiy,RU,2021-11-27 16:55:04,68.75,161.3,-27.27,93,9,3.69,clear sky
130,Port Lincoln,AU,2021-11-27 16:55:05,-34.7333,135.8667,56.1,84,40,11.95,scattered clouds
131,Cajamarca,PE,2021-11-27 16:55:05,-7.1638,-78.5003,68.07,60,75,4.61,light rain
132,Talnakh,RU,2021-11-27 16:55:06,69.4865,88.3972,0.09,97,100,10.22,light snow
133,Mayo,US,2021-11-27 16:55:06,38.8876,-76.5119,41.04,43,5,16.64,clear sky
134,Koluszki,PL,2021-11-27 16:55:06,51.7387,19.8199,31.62,99,100,4.9,overcast clouds
135,Qui Nhon,VN,2021-11-27 16:55:07,13.7667,109.2333,76.66,94,100,19.62,overcast clouds
136,Wajima,JP,2021-11-27 16:55:07,37.4,136.9,47.91,56,96,13.27,overcast clouds
137,Chiradzulu,MW,2021-11-27 16:55:08,-15.6746,35.1407,64.42,69,49,10.02,scattered clouds
138,Luwuk,ID,2021-11-27 16:55:08,-0.9516,122.7875,78.87,82,99,2.89,overcast clouds
139,Omboue,GA,2021-11-27 16:55:08,-1.5746,9.2618,77.88,88,81,8.99,moderate rain
140,General Roca,AR,2021-11-27 16:55:09,-39.0333,-67.5833,77.4,13,14,23.42,few clouds
141,Mahebourg,MU,2021-11-27 16:55:09,-20.4081,57.7,79.09,73,20,3.44,few clouds
142,Kalabo,ZM,2021-11-27 16:55:10,-14.97,22.6814,75.42,63,88,2.89,overcast clouds
143,Saldanha,ZA,2021-11-27 16:55:10,-33.0117,17.9442,68.05,85,46,17.94,scattered clouds
144,Maumere,ID,2021-11-27 16:55:11,-8.6199,122.2111,81.19,78,94,1.03,overcast clouds
145,Manati,PR,2021-11-27 16:55:11,18.4275,-66.4921,84.52,62,9,6.02,clear sky
146,Coihaique,CL,2021-11-27 16:53:40,-45.5752,-72.0662,59.61,41,20,4.61,few clouds
147,Santarem,BR,2021-11-27 16:55:11,-2.4431,-54.7083,86.13,79,40,8.05,scattered clouds
